1,*Classics*,Mac & Ernies,"Tarpley, Texas",04/23/07
1,*Classics*,Brints Diner,"Wichita, Kansas",04/23/07
1,*Classics*,Mad Greeks Diner,"Baker, California",04/23/07
1,*Thats Italian*,Four Kegs Sports Pub,"Las Vegas, Nevada",04/30/07
1,*Thats Italian*,Hullabaloo Diner,"Wellborn, Texas",04/30/07
1,*Thats Italian*,Pizza Palace,"Knoxville, Tennessee",04/30/07
1,*Blue Plate Special*,The Penguin,"Charlotte, North Carolina",05/07/07
1,*Blue Plate Special*,Patricks Roadhouse,"Santa Monica, California",05/07/07
1,*Blue Plate Special*,Frosted Mug,"Alsip, Illinois",05/07/07
1,*Breakfast*,The Coffee Cup,"Boulder City, Nevada",05/21/07
1,*Breakfast*,Franks Diner,"Kenosha, Wisconsin",05/21/07
1,*Breakfast*,Gaffey Street Diner,"San Pedro, California",05/21/07
1,*BBQ*,Louie Mueller BBQ,"Taylor, Texas",05/28/07
1,*BBQ*,Baby Blues BBQ,"Venice, California",05/28/07
1,*BBQ*,Barbecue King Drive-In,"Charlotte, North Carolina",05/28/07
1,*Local Legends*,Eveready Diner,"Hyde Park, New York",06/04/07
1,*Local Legends*,Leos BBQ,"Oklahoma City, Oklahoma",06/04/07
1,*Local Legends*,A1 Diner,"Gardiner, Maine",06/04/07
1,*Burgers*,Triple XXX Restaurant,"West Lafayette, Indiana",06/11/07
1,*Burgers*,Hackneys,"Glenview, Illinois",06/11/07
1,*Burgers*,Squeeze Inn,"Sacramento, California",06/11/07
1,*House Specials*,Red Arrow Diner,"Manchester, New Hampshire",06/18/07
1,*House Specials*,Hanks Creekside Restaurant,"Santa Rosa, California",06/18/07
1,*House Specials*,Voulas Offshore Café,"Seattle, Washington",06/18/07
1,*Retro*,Southside Soda Shop and Diner,"Goshen, Indiana",07/09/07
1,*Retro*,Taylors Automatic Refresher,"St. Helena, California",07/09/07
1,*Retro*,Byways Café,"Portland, Oregon",07/09/07
1,*Worth the Trip*,Big Star Diner,"Bainbridge Island, Washington",07/16/07
1,*Worth the Trip*,Harolds Café,"Gaffney, South Carolina",07/16/07
1,*Worth the Trip*,Mo Gridders BBQ,"Bronx, New York",07/16/07
1,*Diners A-Plenty*,Kellys Diner,"Somerville, Massachusetts",07/23/07
1,*Diners A-Plenty*,Bay Way Diner,"Linden, New Jersey",07/23/07
1,*Diners A-Plenty*,Beacon Drive-In,"Spartanburg, South Carolina",07/23/07
1,*American Cookin*,Rosies Diner,"Rockford, Michigan",07/30/07
1,*American Cookin*,Dari-ette Drive-In,"St. Paul, Minnesota",07/30/07
1,*American Cookin*,The Russian River Pub,"Forestville, California",07/30/07
1,*American Cookin*,Als Breakfast,"Minneapolis, Minnesota",07/30/07
2,*Totally Fried*,Falafels Drive-In,"San Jose, California",10/01/07
2,*Totally Fried*,Ramona Café,"Ramona, California",10/01/07
2,*Totally Fried*,Silk City Diner,"Philadelphia, Pennsylvania",10/01/07
2,*Route 66*,Emma Jeans Holland Burger Café,"Victorville, California",10/08/07
2,*Route 66*,The Rock Café,"Stroud, Oklahoma",10/08/07
2,*Route 66*,Café on the Route,"Baxter Springs, Kansas",10/08/07
